date,year,month,day,hour,d1,d2
2016-01-01,2016,1,1,0,0,0
2016-01-01,2016,1,1,1,0,0
2016-01-01,2016,1,1,2,0,0
2016-01-01,2016,1,1,3,0,0
2016-01-01,2016,1,1,4,0,0
2016-01-01,2016,1,1,5,2,1
2016-01-01,2016,1,1,6,0,0
2016-01-01,2016,1,1,7,1,2
2016-01-01,2016,1,1,8,1,4
2016-01-01,2016,1,1,9,9,3
2016-01-01,2016,1,1,10,20,14
2016-01-01,2016,1,1,11,57,20
2016-01-01,2016,1,1,13,52,45
2016-01-01,2016,1,1,14,29,34
2016-01-01,2016,1,1,15,21,68
2016-01-01,2016,1,1,16,15,26
2016-01-01,2016,1,1,17,2,13
2016-01-01,2016,1,1,18,2,1
2016-01-01,2016,1,1,19,1,1
2016-01-01,2016,1,1,20,0,0
2016-01-01,2016,1,1,21,1,0
2016-01-01,2016,1,1,22,0,0
2016-01-01,2016,1,1,23,0,0
2016-01-01,2016,1,1,24,27,32
2016-01-02,2016,1,2,0,0,0
2016-01-02,2016,1,2,1,0,0
2016-01-02,2016,1,2,2,0,0
2016-01-02,2016,1,2,3,0,0
2016-01-02,2016,1,2,4,1,0
2016-01-02,2016,1,2,5,1,0
2016-01-02,2016,1,2,6,2,0
2016-01-02,2016,1,2,7,2,3
2016-01-02,2016,1,2,8,8,4
2016-01-02,2016,1,2,9,3,6
2016-01-02,2016,1,2,10,10,15
2016-01-02,2016,1,2,11,34,11
2016-01-02,2016,1,2,13,47,35
2016-01-02,2016,1,2,14,35,57
2016-01-02,2016,1,2,15,24,42
2016-01-02,2016,1,2,16,21,17
2016-01-02,2016,1,2,17,6,9
2016-01-02,2016,1,2,18,0,1
2016-01-02,2016,1,2,19,0,0
2016-01-02,2016,1,2,20,0,1
2016-01-02,2016,1,2,21,0,0
2016-01-02,2016,1,2,22,0,3
2016-01-02,2016,1,2,23,0,0
2016-01-02,2016,1,2,24,45,30
2016-01-03,2016,1,3,0,0,0
2016-01-03,2016,1,3,1,0,0
2016-01-03,2016,1,3,2,0,0
2016-01-03,2016,1,3,3,0,0
2016-01-03,2016,1,3,4,0,0
2016-01-03,2016,1,3,5,1,0
2016-01-03,2016,1,3,6,0,0
2016-01-03,2016,1,3,7,2,1
2016-01-03,2016,1,3,8,6,5
2016-01-03,2016,1,3,9,13,12
2016-01-03,2016,1,3,10,35,28
2016-01-03,2016,1,3,11,28,18
2016-01-03,2016,1,3,13,27,30
2016-01-03,2016,1,3,14,8,22
2016-01-03,2016,1,3,15,11,6
2016-01-03,2016,1,3,16,4,5
