date,year,month,day,hour,d1,d2
2016-01-06,2016,1,6,20,2,4
2016-01-06,2016,1,6,21,2,2
2016-01-06,2016,1,6,22,0,4
2016-01-06,2016,1,6,23,1,3
2016-01-06,2016,1,6,24,11,16
2016-01-07,2016,1,7,0,0,0
2016-01-07,2016,1,7,1,0,0
2016-01-07,2016,1,7,2,0,0
2016-01-07,2016,1,7,3,0,1
2016-01-07,2016,1,7,4,0,0
2016-01-07,2016,1,7,5,1,2
2016-01-07,2016,1,7,6,21,11
2016-01-07,2016,1,7,7,39,22
2016-01-07,2016,1,7,8,98,22
2016-01-07,2016,1,7,9,84,27
2016-01-07,2016,1,7,10,14,15
2016-01-07,2016,1,7,11,10,8
2016-01-07,2016,1,7,13,10,7
2016-01-07,2016,1,7,14,14,15
2016-01-07,2016,1,7,15,16,13
2016-01-07,2016,1,7,16,28,44
2016-01-07,2016,1,7,17,40,103
2016-01-07,2016,1,7,18,11,102
2016-01-07,2016,1,7,19,7,33
2016-01-07,2016,1,7,20,3,11
2016-01-07,2016,1,7,21,1,5
2016-01-07,2016,1,7,22,1,3
2016-01-07,2016,1,7,23,5,1
2016-01-07,2016,1,7,24,4,16
2016-01-08,2016,1,8,0,1,0
2016-01-08,2016,1,8,1,2,0
2016-01-08,2016,1,8,2,0,1
2016-01-08,2016,1,8,3,0,0
2016-01-08,2016,1,8,4,0,0
2016-01-08,2016,1,8,5,2,4
2016-01-08,2016,1,8,6,11,7
2016-01-08,2016,1,8,7,47,21
2016-01-08,2016,1,8,8,97,26
2016-01-08,2016,1,8,9,58,22
2016-01-08,2016,1,8,10,20,12
2016-01-08,2016,1,8,11,21,12
2016-01-08,2016,1,8,13,22,16
2016-01-08,2016,1,8,14,18,27
2016-01-08,2016,1,8,15,25,36
2016-01-08,2016,1,8,16,43,54
2016-01-08,2016,1,8,17,41,99
2016-01-08,2016,1,8,18,21,64
2016-01-08,2016,1,8,19,10,27
2016-01-08,2016,1,8,20,1,11
2016-01-08,2016,1,8,21,2,2
2016-01-08,2016,1,8,22,1,2
2016-01-08,2016,1,8,23,1,3
2016-01-08,2016,1,8,24,12,16
2016-01-09,2016,1,9,0,0,2
2016-01-09,2016,1,9,1,0,1
2016-01-09,2016,1,9,2,0,1
2016-01-09,2016,1,9,3,0,3
2016-01-09,2016,1,9,4,0,0
2016-01-09,2016,1,9,5,2,0
2016-01-09,2016,1,9,6,2,2
2016-01-09,2016,1,9,7,1,0
2016-01-09,2016,1,9,8,4,10
2016-01-09,2016,1,9,9,8,6
2016-01-09,2016,1,9,10,16,12
2016-01-09,2016,1,9,11,20,10
2016-01-09,2016,1,9,13,36,37
2016-01-09,2016,1,9,14,24,35
2016-01-09,2016,1,9,15,41,40
2016-01-09,2016,1,9,16,36,42
2016-01-09,2016,1,9,17,20,17
2016-01-09,2016,1,9,18,15,2
2016-01-09,2016,1,9,19,2,5
2016-01-09,2016,1,9,20,0,0
2016-01-09,2016,1,9,21,2,2
2016-01-09,2016,1,9,22,1,1
2016-01-09,2016,1,9,23,0,10
2016-01-09,2016,1,9,24,25,19
2016-01-10,2016,1,10,0,0,0
2016-01-10,2016,1,10,1,1,0
2016-01-10,2016,1,10,2,0,0
2016-01-10,2016,1,10,3,0,3
2016-01-10,2016,1,10,4,1,0
2016-01-10,2016,1,10,5,1,0
2016-01-10,2016,1,10,6,0,0
2016-01-10,2016,1,10,7,2,1
2016-01-10,2016,1,10,8,4,1
2016-01-10,2016,1,10,9,6,18
2016-01-10,2016,1,10,10,14,10
2016-01-10,2016,1,10,11,30,23
2016-01-10,2016,1,10,13,24,37
2016-01-10,2016,1,10,14,43,50
2016-01-10,2016,1,10,15,68,46
2016-01-10,2016,1,10,16,42,40
2016-01-10,2016,1,10,17,28,15
2016-01-10,2016,1,10,18,8,6
2016-01-10,2016,1,10,19,2,2
2016-01-10,2016,1,10,20,1,3
2016-01-10,2016,1,10,21,1,0
2016-01-10,2016,1,10,22,1,0
2016-01-10,2016,1,10,23,0,0
2016-01-10,2016,1,10,24,20,25
2016-01-11,2016,1,11,0,0,0
2016-01-11,2016,1,11,1,2,0
2016-01-11,2016,1,11,2,0,0
2016-01-11,2016,1,11,3,0,1
2016-01-11,2016,1,11,4,0,0
2016-01-11,2016,1,11,5,4,5
2016-01-11,2016,1,11,6,23,8
2016-01-11,2016,1,11,7,31,14
2016-01-11,2016,1,11,8,101,31
2016-01-11,2016,1,11,9,69,20
2016-01-11,2016,1,11,10,13,13
2016-01-11,2016,1,11,11,13,4
2016-01-11,2016,1,11,13,3,7
2016-01-11,2016,1,11,14,4,7
2016-01-11,2016,1,11,15,10,13
2016-01-11,2016,1,11,16,27,29
2016-01-11,2016,1,11,17,26,93
2016-01-11,2016,1,11,18,12,93
2016-01-11,2016,1,11,19,3,34
2016-01-11,2016,1,11,20,0,6
2016-01-11,2016,1,11,21,1,3
2016-01-11,2016,1,11,22,0,1
2016-01-11,2016,1,11,23,1,0
2016-01-11,2016,1,11,24,6,7
2016-01-12,2016,1,12,0,0,2
2016-01-12,2016,1,12,1,0,0
2016-01-12,2016,1,12,2,0,0
2016-01-12,2016,1,12,3,0,1
2016-01-12,2016,1,12,4,0,0
2016-01-12,2016,1,12,5,4,4
2016-01-12,2016,1,12,6,18,9
2016-01-12,2016,1,12,7,36,20
2016-01-12,2016,1,12,8,69,21
2016-01-12,2016,1,12,9,50,21
2016-01-12,2016,1,12,10,13,6
2016-01-12,2016,1,12,11,15,3
2016-01-12,2016,1,12,13,4,6
2016-01-12,2016,1,12,14,4,5
2016-01-12,2016,1,12,15,9,4
2016-01-12,2016,1,12,16,23,18
2016-01-12,2016,1,12,17,19,66
2016-01-12,2016,1,12,18,10,80
2016-01-12,2016,1,12,19,1,20
2016-01-12,2016,1,12,20,2,5
2016-01-12,2016,1,12,21,0,6
2016-01-12,2016,1,12,22,1,4
2016-01-12,2016,1,12,23,0,0
2016-01-12,2016,1,12,24,5,5
2016-01-13,2016,1,13,0,0,0
2016-01-13,2016,1,13,1,1,0
2016-01-13,2016,1,13,2,1,0
2016-01-13,2016,1,13,3,0,0
2016-01-13,2016,1,13,4,0,0
2016-01-13,2016,1,13,5,4,2
2016-01-13,2016,1,13,6,20,8
2016-01-13,2016,1,13,7,34,14
2016-01-13,2016,1,13,8,61,17
2016-01-13,2016,1,13,9,46,13
2016-01-13,2016,1,13,10,13,7
2016-01-13,2016,1,13,11,12,4
2016-01-13,2016,1,13,13,2,5
2016-01-13,2016,1,13,14,7,6
2016-01-13,2016,1,13,15,9,10
2016-01-13,2016,1,13,16,23,29
2016-01-13,2016,1,13,17,29,70
2016-01-13,2016,1,13,18,13,77
2016-01-13,2016,1,13,19,4,25
2016-01-13,2016,1,13,20,0,4
2016-01-13,2016,1,13,21,2,1
2016-01-13,2016,1,13,22,1,2
2016-01-13,2016,1,13,23,0,0
2016-01-13,2016,1,13,24,8,2
2016-01-14,2016,1,14,0,0,1
2016-01-14,2016,1,14,1,2,0
2016-01-14,2016,1,14,2,0,0
2016-01-14,2016,1,14,3,0,0
2016-01-14,2016,1,14,4,0,1
2016-01-14,2016,1,14,5,0,5
2016-01-14,2016,1,14,6,18,6
2016-01-14,2016,1,14,7,26,21
2016-01-14,2016,1,14,8,101,16
2016-01-14,2016,1,14,9,65,22
2016-01-14,2016,1,14,10,25,12
2016-01-14,2016,1,14,11,17,23
2016-01-14,2016,1,14,13,34,17
2016-01-14,2016,1,14,14,20,13
2016-01-14,2016,1,14,15,23,26
2016-01-14,2016,1,14,16,36,37
2016-01-14,2016,1,14,17,43,99
2016-01-14,2016,1,14,18,26,99
2016-01-14,2016,1,14,19,6,29
2016-01-14,2016,1,14,20,4,7
2016-01-14,2016,1,14,21,2,4
2016-01-14,2016,1,14,22,1,5
2016-01-14,2016,1,14,23,1,2
2016-01-14,2016,1,14,24,20,24
2016-01-15,2016,1,15,0,0,4
2016-01-15,2016,1,15,1,0,0
2016-01-15,2016,1,15,2,0,0
2016-01-15,2016,1,15,3,0,2
2016-01-15,2016,1,15,4,1,0
2016-01-15,2016,1,15,5,5,3
2016-01-15,2016,1,15,6,24,7
2016-01-15,2016,1,15,7,33,15
2016-01-15,2016,1,15,8,75,24
2016-01-15,2016,1,15,9,61,23
2016-01-15,2016,1,15,10,18,9
2016-01-15,2016,1,15,11,6,9
2016-01-15,2016,1,15,13,5,8
2016-01-15,2016,1,15,14,10,11
2016-01-15,2016,1,15,15,8,15
2016-01-15,2016,1,15,16,26,33
2016-01-15,2016,1,15,17,18,89
2016-01-15,2016,1,15,18,13,66
2016-01-15,2016,1,15,19,6,19
2016-01-15,2016,1,15,20,1,9
2016-01-15,2016,1,15,21,4,7
2016-01-15,2016,1,15,22,4,2
2016-01-15,2016,1,15,23,0,2
2016-01-15,2016,1,15,24,9,4
2016-01-16,2016,1,16,0,0,0
2016-01-16,2016,1,16,1,0,1
2016-01-16,2016,1,16,2,0,0
2016-01-16,2016,1,16,3,0,0
2016-01-16,2016,1,16,4,0,0
2016-01-16,2016,1,16,5,2,1
2016-01-16,2016,1,16,6,1,0
2016-01-16,2016,1,16,7,1,0
2016-01-16,2016,1,16,8,1,3
2016-01-16,2016,1,16,9,1,0
2016-01-16,2016,1,16,10,6,3
2016-01-16,2016,1,16,11,12,8
2016-01-16,2016,1,16,13,20,17
2016-01-16,2016,1,16,14,14,23
2016-01-16,2016,1,16,15,7,10
2016-01-16,2016,1,16,16,10,7
2016-01-16,2016,1,16,17,4,1
2016-01-16,2016,1,16,18,0,2
2016-01-16,2016,1,16,19,2,2
2016-01-16,2016,1,16,20,0,2
2016-01-16,2016,1,16,21,4,0
2016-01-16,2016,1,16,22,2,4
2016-01-16,2016,1,16,23,0,5
2016-01-16,2016,1,16,24,9,11
2016-01-17,2016,1,17,0,3,1
2016-01-17,2016,1,17,1,0,0
