date,year,month,day,hour,d1,d2
2014-01-01,2014,1,1,0,0,2
2014-01-01,2014,1,1,1,3,10
2014-01-01,2014,1,1,2,0,2
2014-01-01,2014,1,1,3,0,0
2014-01-01,2014,1,1,4,0,0
2014-01-01,2014,1,1,5,0,0
2014-01-01,2014,1,1,6,0,2
2014-01-01,2014,1,1,7,0,1
2014-01-01,2014,1,1,8,2,0
2014-01-01,2014,1,1,9,0,0
2014-01-01,2014,1,1,10,5,2
2014-01-01,2014,1,1,11,0,4
2014-01-01,2014,1,1,13,4,5
2014-01-01,2014,1,1,14,6,11
2014-01-01,2014,1,1,15,6,6
2014-01-01,2014,1,1,16,1,2
2014-01-01,2014,1,1,17,4,4
2014-01-01,2014,1,1,18,3,2
2014-01-01,2014,1,1,19,0,2
2014-01-01,2014,1,1,20,2,4
2014-01-01,2014,1,1,21,2,2
2014-01-01,2014,1,1,22,4,4
2014-01-01,2014,1,1,23,3,2
2014-01-01,2014,1,1,24,7,1
2014-01-02,2014,1,2,0,2,5
2014-01-02,2014,1,2,1,0,0
2014-01-02,2014,1,2,2,8,0
2014-01-02,2014,1,2,3,0,0
2014-01-02,2014,1,2,4,0,2
2014-01-02,2014,1,2,5,0,0
2014-01-02,2014,1,2,6,0,0
2014-01-02,2014,1,2,7,2,1
2014-01-02,2014,1,2,8,2,4
2014-01-02,2014,1,2,9,11,2
2014-01-02,2014,1,2,10,0,12
2014-01-02,2014,1,2,11,2,0
2014-01-02,2014,1,2,13,8,0
2014-01-02,2014,1,2,14,6,8
2014-01-02,2014,1,2,15,0,7
2014-01-02,2014,1,2,16,7,9
2014-01-02,2014,1,2,17,13,6
2014-01-02,2014,1,2,18,5,5
2014-01-02,2014,1,2,19,10,6
2014-01-02,2014,1,2,20,2,4
2014-01-02,2014,1,2,21,4,2
2014-01-02,2014,1,2,22,2,6
2014-01-02,2014,1,2,23,1,5
2014-01-02,2014,1,2,24,2,0
2014-01-03,2014,1,3,0,4,6
2014-01-03,2014,1,3,1,4,2
2014-01-03,2014,1,3,2,2,0
2014-01-03,2014,1,3,3,0,0
2014-01-03,2014,1,3,4,0,0
2014-01-03,2014,1,3,5,1,1
2014-01-03,2014,1,3,6,2,2
2014-01-03,2014,1,3,7,3,2
2014-01-03,2014,1,3,8,3,4
2014-01-03,2014,1,3,9,1,6
2014-01-03,2014,1,3,10,0,3
2014-01-03,2014,1,3,11,8,4
2014-01-03,2014,1,3,13,11,10
2014-01-03,2014,1,3,14,8,2
2014-01-03,2014,1,3,15,4,4
2014-01-03,2014,1,3,16,4,3
2014-01-03,2014,1,3,17,2,6
2014-01-03,2014,1,3,18,2,2
2014-01-03,2014,1,3,19,4,1
2014-01-03,2014,1,3,20,2,4
2014-01-03,2014,1,3,21,4,5
2014-01-03,2014,1,3,22,0,3
2014-01-03,2014,1,3,23,2,0
2014-01-03,2014,1,3,24,0,8
2014-01-04,2014,1,4,0,0,0
2014-01-04,2014,1,4,1,2,0
2014-01-04,2014,1,4,2,0,0
2014-01-04,2014,1,4,3,0,2
2014-01-04,2014,1,4,4,0,0
2014-01-04,2014,1,4,5,0,4
2014-01-04,2014,1,4,6,1,0
2014-01-04,2014,1,4,7,8,3
2014-01-04,2014,1,4,8,16,1
2014-01-04,2014,1,4,9,9,12
2014-01-04,2014,1,4,10,1,5
2014-01-04,2014,1,4,11,0,5
2014-01-04,2014,1,4,13,7,3
2014-01-04,2014,1,4,14,3,6
2014-01-04,2014,1,4,15,9,4
2014-01-04,2014,1,4,16,18,11
2014-01-04,2014,1,4,17,15,20
2014-01-04,2014,1,4,18,17,15
2014-01-04,2014,1,4,19,13,10
2014-01-04,2014,1,4,20,9,11
2014-01-04,2014,1,4,21,2,1
2014-01-04,2014,1,4,22,0,8
2014-01-04,2014,1,4,23,0,4
2014-01-04,2014,1,4,24,10,6
2014-01-05,2014,1,5,0,1,0
2014-01-05,2014,1,5,1,0,2
2014-01-05,2014,1,5,2,0,0
2014-01-05,2014,1,5,3,0,0
2014-01-05,2014,1,5,4,0,2
2014-01-05,2014,1,5,5,2,4
2014-01-05,2014,1,5,6,4,4
2014-01-05,2014,1,5,7,6,6
2014-01-05,2014,1,5,8,17,11
2014-01-05,2014,1,5,9,11,4
2014-01-05,2014,1,5,10,15,10
2014-01-05,2014,1,5,11,20,15
2014-01-05,2014,1,5,13,10,7
2014-01-05,2014,1,5,14,13,3
2014-01-05,2014,1,5,15,11,20
2014-01-05,2014,1,5,16,15,13
2014-01-05,2014,1,5,17,28,12
2014-01-05,2014,1,5,18,25,39
2014-01-05,2014,1,5,19,14,6
2014-01-05,2014,1,5,20,19,9
2014-01-05,2014,1,5,21,7,7
2014-01-05,2014,1,5,22,5,4
2014-01-05,2014,1,5,23,5,9
2014-01-05,2014,1,5,24,14,16
2014-01-06,2014,1,6,0,4,4
2014-01-06,2014,1,6,1,4,5
2014-01-06,2014,1,6,2,3,9
2014-01-06,2014,1,6,3,0,0
2014-01-06,2014,1,6,4,0,0
2014-01-06,2014,1,6,5,0,0
2014-01-06,2014,1,6,6,0,0
2014-01-06,2014,1,6,7,0,0
2014-01-06,2014,1,6,8,0,0
2014-01-06,2014,1,6,9,0,0
2014-01-06,2014,1,6,10,0,0
2014-01-06,2014,1,6,11,0,0
2014-01-06,2014,1,6,13,0,0
2014-01-06,2014,1,6,14,0,0
2014-01-06,2014,1,6,15,0,0
2014-01-06,2014,1,6,16,0,0
2014-01-06,2014,1,6,17,0,0
2014-01-06,2014,1,6,18,0,0
2014-01-06,2014,1,6,19,0,0
2014-01-06,2014,1,6,20,0,0
2014-01-06,2014,1,6,21,0,0
2014-01-06,2014,1,6,22,0,0
2014-01-06,2014,1,6,23,0,0
2014-01-06,2014,1,6,24,0,0
2014-01-07,2014,1,7,0,8,4
2014-01-07,2014,1,7,1,0,0
2014-01-07,2014,1,7,2,0,2
2014-01-07,2014,1,7,3,3,0
2014-01-07,2014,1,7,4,1,0
2014-01-07,2014,1,7,5,2,4
2014-01-07,2014,1,7,6,2,23
2014-01-07,2014,1,7,7,28,20
2014-01-07,2014,1,7,8,25,18
2014-01-07,2014,1,7,9,15,20
2014-01-07,2014,1,7,10,10,3
2014-01-07,2014,1,7,11,14,10
2014-01-07,2014,1,7,13,11,14
2014-01-07,2014,1,7,14,9,10
2014-01-07,2014,1,7,15,25,26
2014-01-07,2014,1,7,16,30,20
2014-01-07,2014,1,7,17,51,31
2014-01-07,2014,1,7,18,28,16
2014-01-07,2014,1,7,19,25,20
2014-01-07,2014,1,7,20,14,16
2014-01-07,2014,1,7,21,8,11
2014-01-07,2014,1,7,22,6,13
2014-01-07,2014,1,7,23,10,6
2014-01-07,2014,1,7,24,23,22
2014-01-08,2014,1,8,0,2,7
2014-01-08,2014,1,8,1,0,2
2014-01-08,2014,1,8,2,0,2
2014-01-08,2014,1,8,3,0,0
2014-01-08,2014,1,8,4,0,4
2014-01-08,2014,1,8,5,4,3
2014-01-08,2014,1,8,6,8,19
2014-01-08,2014,1,8,7,19,40
2014-01-08,2014,1,8,8,25,18
2014-01-08,2014,1,8,9,16,18
2014-01-08,2014,1,8,10,17,16
2014-01-08,2014,1,8,11,10,15
2014-01-08,2014,1,8,13,16,5
2014-01-08,2014,1,8,14,21,15
2014-01-08,2014,1,8,15,16,13
2014-01-08,2014,1,8,16,15,18
2014-01-08,2014,1,8,17,47,39
2014-01-08,2014,1,8,18,36,28
2014-01-08,2014,1,8,19,28,27
2014-01-08,2014,1,8,20,28,19
2014-01-08,2014,1,8,21,12,6
2014-01-08,2014,1,8,22,6,17
2014-01-08,2014,1,8,23,4,10
2014-01-08,2014,1,8,24,9,12
2014-01-09,2014,1,9,0,2,1
2014-01-09,2014,1,9,1,23,34
2014-01-09,2014,1,9,2,3,0
2014-01-09,2014,1,9,3,2,0
2014-01-09,2014,1,9,4,0,3
2014-01-09,2014,1,9,5,0,4
2014-01-09,2014,1,9,6,3,4
2014-01-09,2014,1,9,7,0,4
2014-01-09,2014,1,9,8,6,4
2014-01-09,2014,1,9,9,3,7
2014-01-09,2014,1,9,10,7,2
2014-01-09,2014,1,9,11,11,0
2014-01-09,2014,1,9,13,9,19
2014-01-09,2014,1,9,14,6,16
2014-01-09,2014,1,9,15,7,15
2014-01-09,2014,1,9,16,19,22
2014-01-09,2014,1,9,17,8,7
2014-01-09,2014,1,9,18,11,8
2014-01-09,2014,1,9,19,14,4
2014-01-09,2014,1,9,20,9,7
2014-01-09,2014,1,9,21,3,7
2014-01-09,2014,1,9,22,7,0
2014-01-09,2014,1,9,23,4,6
2014-01-09,2014,1,9,24,9,9
2014-01-10,2014,1,10,0,0,0
2014-01-10,2014,1,10,1,0,2
2014-01-10,2014,1,10,2,0,0
2014-01-10,2014,1,10,3,2,0
2014-01-10,2014,1,10,4,0,1
2014-01-10,2014,1,10,5,3,4
2014-01-10,2014,1,10,6,5,12
2014-01-10,2014,1,10,7,17,29
2014-01-10,2014,1,10,8,23,22
2014-01-10,2014,1,10,9,11,23
2014-01-10,2014,1,10,10,11,15
2014-01-10,2014,1,10,11,8,12
2014-01-10,2014,1,10,13,4,16
2014-01-10,2014,1,10,14,9,11
2014-01-10,2014,1,10,15,7,16
2014-01-10,2014,1,10,16,26,22
2014-01-10,2014,1,10,17,29,24
2014-01-10,2014,1,10,18,18,20
2014-01-10,2014,1,10,19,9,8
2014-01-10,2014,1,10,20,13,13
2014-01-10,2014,1,10,21,12,5
2014-01-10,2014,1,10,22,6,8
2014-01-10,2014,1,10,23,5,3
2014-01-10,2014,1,10,24,10,15
2014-01-11,2014,1,11,0,3,9
2014-01-11,2014,1,11,1,0,7
2014-01-11,2014,1,11,2,2,8
2014-01-11,2014,1,11,3,0,1
2014-01-11,2014,1,11,4,0,0
2014-01-11,2014,1,11,5,0,5
2014-01-11,2014,1,11,6,0,0
2014-01-11,2014,1,11,7,2,2
2014-01-11,2014,1,11,8,0,1
2014-01-11,2014,1,11,9,0,2
2014-01-11,2014,1,11,10,0,3
2014-01-11,2014,1,11,11,0,4
2014-01-11,2014,1,11,13,0,2
2014-01-11,2014,1,11,14,3,0
2014-01-11,2014,1,11,15,0,9
2014-01-11,2014,1,11,16,0,12
2014-01-11,2014,1,11,17,0,19
2014-01-11,2014,1,11,18,1,4
2014-01-11,2014,1,11,19,2,6
2014-01-11,2014,1,11,20,0,11
2014-01-11,2014,1,11,21,0,1
2014-01-11,2014,1,11,22,8,4
2014-01-11,2014,1,11,23,2,4
2014-01-11,2014,1,11,24,1,8
2014-01-12,2014,1,12,0,0,0
2014-01-12,2014,1,12,1,0,0
2014-01-12,2014,1,12,2,0,0
2014-01-12,2014,1,12,3,0,0
2014-01-12,2014,1,12,4,0,0
2014-01-12,2014,1,12,5,0,0
2014-01-12,2014,1,12,6,0,0
2014-01-12,2014,1,12,7,0,0
2014-01-12,2014,1,12,8,0,0
2014-01-12,2014,1,12,9,0,0
2014-01-12,2014,1,12,10,0,0
2014-01-12,2014,1,12,11,0,0
2014-01-12,2014,1,12,13,0,0
2014-01-12,2014,1,12,14,8,0
2014-01-12,2014,1,12,15,10,4
2014-01-12,2014,1,12,16,12,0
2014-01-12,2014,1,12,17,8,0
2014-01-12,2014,1,12,18,0,0
2014-01-12,2014,1,12,19,0,0
2014-01-12,2014,1,12,20,0,0
2014-01-12,2014,1,12,21,0,0
2014-01-12,2014,1,12,22,0,0
2014-01-12,2014,1,12,23,0,0
2014-01-12,2014,1,12,24,0,0
2014-02-01,2014,2,1,0,0,0
2014-02-01,2014,2,1,1,0,0
2014-02-01,2014,2,1,2,0,0
2014-02-01,2014,2,1,3,0,0
2014-02-01,2014,2,1,4,0,0
2014-02-01,2014,2,1,5,0,8
2014-02-01,2014,2,1,6,4,6
2014-02-01,2014,2,1,7,5,4
2014-02-01,2014,2,1,8,7,2
2014-02-01,2014,2,1,9,9,4
2014-02-01,2014,2,1,10,9,2
2014-02-01,2014,2,1,11,2,5
2014-02-01,2014,2,1,13,5,5
2014-02-01,2014,2,1,14,0,4
2014-02-01,2014,2,1,15,2,6
2014-02-01,2014,2,1,16,3,2
2014-02-01,2014,2,1,17,12,4
2014-02-01,2014,2,1,18,14,10
2014-02-01,2014,2,1,19,10,4
2014-02-01,2014,2,1,20,8,4
2014-02-01,2014,2,1,21,4,3
2014-02-01,2014,2,1,22,2,2
2014-02-01,2014,2,1,23,2,0
2014-02-01,2014,2,1,24,8,8
2014-02-02,2014,2,2,0,3,3
2014-02-02,2014,2,2,1,2,4
2014-02-02,2014,2,2,2,1,0
2014-02-02,2014,2,2,3,0,0
2014-02-02,2014,2,2,4,0,0
2014-02-02,2014,2,2,5,0,0
2014-02-02,2014,2,2,6,0,0
2014-02-02,2014,2,2,7,0,0
2014-02-02,2014,2,2,8,2,2
2014-02-02,2014,2,2,9,0,1
2014-02-02,2014,2,2,10,6,1
2014-02-02,2014,2,2,11,4,2
2014-02-02,2014,2,2,13,5,9
2014-02-02,2014,2,2,14,3,6
2014-02-02,2014,2,2,15,5,7
2014-02-02,2014,2,2,16,7,10
2014-02-02,2014,2,2,17,3,5
2014-02-02,2014,2,2,18,3,5
2014-02-02,2014,2,2,19,9,4
2014-02-02,2014,2,2,20,6,4
2014-02-02,2014,2,2,21,8,3
2014-02-02,2014,2,2,22,11,5
2014-02-02,2014,2,2,23,5,4
2014-02-02,2014,2,2,24,4,6
2014-02-03,2014,2,3,0,1,0
2014-02-03,2014,2,3,1,0,4
2014-02-03,2014,2,3,2,0,2
2014-02-03,2014,2,3,3,0,0
2014-02-03,2014,2,3,4,0,1
2014-02-03,2014,2,3,5,0,0
2014-02-03,2014,2,3,6,2,2
2014-02-03,2014,2,3,7,1,0
2014-02-03,2014,2,3,8,0,0
2014-02-03,2014,2,3,9,5,1
2014-02-03,2014,2,3,10,2,0
2014-02-03,2014,2,3,11,0,2
2014-02-03,2014,2,3,13,6,6
2014-02-03,2014,2,3,14,5,1
2014-02-03,2014,2,3,15,4,4
2014-02-03,2014,2,3,16,2,0
2014-02-03,2014,2,3,17,3,6
2014-02-03,2014,2,3,18,4,1
2014-02-03,2014,2,3,19,1,3
2014-02-03,2014,2,3,20,4,0
2014-02-03,2014,2,3,21,2,5
2014-02-03,2014,2,3,22,1,0
2014-02-03,2014,2,3,23,0,2
2014-02-03,2014,2,3,24,0,0
2014-02-04,2014,2,4,0,1,2
2014-02-04,2014,2,4,1,0,0
2014-02-04,2014,2,4,2,0,0
2014-02-04,2014,2,4,3,0,0
2014-02-04,2014,2,4,4,0,0
2014-02-04,2014,2,4,5,2,2
2014-02-04,2014,2,4,6,6,5
2014-02-04,2014,2,4,7,4,7
2014-02-04,2014,2,4,8,10,4
2014-02-04,2014,2,4,9,5,11
2014-02-04,2014,2,4,10,7,9
2014-02-04,2014,2,4,11,6,2
2014-02-04,2014,2,4,13,12,7
2014-02-04,2014,2,4,14,15,2
2014-02-04,2014,2,4,15,7,15
2014-02-04,2014,2,4,16,14,11
