date,year,month,day,hour,d1,d2
2014-01-01,2014,1,1,0,0,0
2014-01-01,2014,1,1,1,2,3
2014-01-01,2014,1,1,2,0,0
2014-01-01,2014,1,1,3,0,0
2014-01-01,2014,1,1,4,0,0
2014-01-01,2014,1,1,5,0,0
2014-01-01,2014,1,1,6,0,1
2014-01-01,2014,1,1,7,1,1
2014-01-01,2014,1,1,8,0,0
2014-01-01,2014,1,1,9,1,16
2014-01-01,2014,1,1,10,0,2
2014-01-01,2014,1,1,11,4,2
2014-01-01,2014,1,1,13,7,4
2014-01-01,2014,1,1,14,3,3
2014-01-01,2014,1,1,15,7,6
2014-01-01,2014,1,1,16,10,5
2014-01-01,2014,1,1,17,0,9
2014-01-01,2014,1,1,18,0,6
2014-01-01,2014,1,1,19,2,2
2014-01-01,2014,1,1,20,2,0
2014-01-01,2014,1,1,21,0,0
2014-01-01,2014,1,1,22,0,0
2014-01-01,2014,1,1,23,0,0
2014-01-01,2014,1,1,24,11,3
2014-01-02,2014,1,2,0,0,0
2014-01-02,2014,1,2,1,0,0
2014-01-02,2014,1,2,2,0,0
2014-01-02,2014,1,2,3,0,0
2014-01-02,2014,1,2,4,0,0
2014-01-02,2014,1,2,5,0,2
2014-01-02,2014,1,2,6,1,1
2014-01-02,2014,1,2,7,0,0
2014-01-02,2014,1,2,8,7,1
2014-01-02,2014,1,2,9,3,1
2014-01-02,2014,1,2,10,11,2
2014-01-02,2014,1,2,11,1,6
2014-01-02,2014,1,2,13,9,7
2014-01-02,2014,1,2,14,3,9
2014-01-02,2014,1,2,15,6,8
2014-01-02,2014,1,2,16,8,1
2014-01-02,2014,1,2,17,8,3
2014-01-02,2014,1,2,18,3,2
2014-01-02,2014,1,2,19,1,2
2014-01-02,2014,1,2,20,2,1
2014-01-02,2014,1,2,21,2,1
2014-01-02,2014,1,2,22,2,0
2014-01-02,2014,1,2,23,1,0
2014-01-02,2014,1,2,24,9,6
2014-01-03,2014,1,3,0,1,0
2014-01-03,2014,1,3,1,0,0
2014-01-03,2014,1,3,2,0,0
2014-01-03,2014,1,3,3,0,0
2014-01-03,2014,1,3,4,0,0
2014-01-03,2014,1,3,5,0,1
2014-01-03,2014,1,3,6,0,8
2014-01-03,2014,1,3,7,1,1
2014-01-03,2014,1,3,8,1,5
2014-01-03,2014,1,3,9,2,1
2014-01-03,2014,1,3,10,2,3
2014-01-03,2014,1,3,11,10,3
2014-01-03,2014,1,3,13,23,4
2014-01-03,2014,1,3,14,4,0
2014-01-03,2014,1,3,15,6,1
2014-01-03,2014,1,3,16,1,5
2014-01-03,2014,1,3,17,3,5
2014-01-03,2014,1,3,18,6,2
2014-01-03,2014,1,3,19,1,0
2014-01-03,2014,1,3,20,1,2
2014-01-03,2014,1,3,21,1,1
